Chr	Start (kb)	Stop (kb)	LOD score
5	30976030	30976090	lod=32
5	30976112	30976197	lod=86
5	30976201	30976211	lod=24
5	30976226	30976367	lod=154
5	30976425	30976541	lod=51
5	30976584	30976653	lod=52
5	30976662	30976888	lod=207
5	30976917	30976944	lod=35
5	30976953	30976966	lod=19
5	30976978	30977000	lod=20
5	30977050	30977152	lod=50
5	30977188	30977211	lod=22
5	30978192	30978216	lod=20
5	30978263	30978314	lod=33
5	30978364	30978392	lod=32
5	30978412	30978485	lod=76
5	30978689	30978719	lod=23
5	30979381	30979475	lod=45
5	30979518	30979531	lod=19
5	30979603	30979635	lod=19
5	30991937	30991953	lod=17
5	30992061	30992102	lod=22
5	30992270	30992354	lod=42
5	30992424	30992448	lod=22
5	30992555	30992875	lod=377
5	30993082	30993103	lod=22
5	30993123	30993177	lod=22
5	30993848	30993854	lod=19
5	30994120	30994146	lod=22
5	30994182	30994245	lod=76
5	30994283	30994394	lod=103
5	30998012	30998056	lod=21
5	30998254	30998388	lod=72
5	31000261	31000274	lod=19
5	31000428	31000457	lod=37
5	31001093	31001119	lod=19
5	31001193	31001225	lod=22
5	31001276	31001421	lod=33
5	31001887	31001940	lod=32
5	31006964	31006978	lod=17
5	31008005	31008014	lod=16
5	31008053	31008225	lod=90
5	31008254	31008288	lod=28
5	31008349	31008400	lod=33
5	31009036	31009062	lod=24
5	31009321	31009338	lod=17
5	31009662	31009678	lod=17
5	31009707	31009950	lod=304
5	31010231	31010249	lod=18
5	31010488	31010534	lod=31
5	31013334	31013453	lod=56
5	31013461	31013558	lod=67
5	31013575	31013760	lod=184
5	31014115	31014134	lod=17
5	31016716	31016784	lod=24
5	31017032	31017057	lod=19
5	31017087	31017134	lod=25
5	31017360	31017482	lod=48
5	31018151	31018218	lod=56
5	31018301	31018521	lod=275
5	31019338	31019371	lod=24
5	31019424	31019520	lod=74
5	31019561	31019569	lod=16
5	31019700	31019735	lod=22
5	31020308	31020371	lod=60
5	31020390	31020404	lod=19
5	31024056	31024175	lod=67
5	31026264	31026387	lod=153
5	31026400	31026619	lod=201
5	31029090	31029115	lod=22
5	31030686	31030707	lod=19
5	31030876	31030950	lod=39
5	31030961	31031098	lod=133
5	31031113	31031318	lod=128
5	31031387	31031430	lod=37
5	31031813	31031966	lod=108
5	31031981	31032007	lod=21
5	31032603	31032648	lod=28
5	31032720	31032741	lod=26
5	31032767	31032801	lod=40
5	31032841	31032871	lod=22
5	31032884	31032941	lod=30
5	31033434	31033487	lod=26
5	31044940	31044965	lod=21
5	31045015	31045108	lod=39
5	31048375	31048417	lod=21
5	31048669	31048712	lod=31
5	31048744	31048756	lod=23
5	31050194	31050218	lod=22
5	31050446	31050719	lod=126
5	31051553	31051640	lod=37
5	31052684	31052792	lod=33
5	31053485	31053536	lod=24
5	31056647	31056683	lod=20
5	31056831	31056949	lod=84
5	31057113	31057148	lod=38
5	31057249	31057269	lod=32
5	31057280	31057324	lod=28
5	31058548	31058591	lod=24
5	31058657	31058764	lod=52
5	31058803	31058834	lod=27
5	31059181	31059253	lod=29
5	31060702	31060778	lod=47
5	31061184	31061197	lod=19
5	31061373	31061493	lod=127
5	31061495	31061651	lod=174
5	31063653	31064001	lod=327
5	31064998	31065020	lod=19
5	31065146	31065164	lod=23
5	31068195	31068264	lod=64
5	31068295	31068313	lod=17
5	31069032	31069069	lod=25
5	31069347	31069510	lod=112
5	31070987	31070998	lod=20
5	31071026	31071072	lod=47
5	31071754	31071816	lod=29
5	31071828	31071844	lod=23
5	31071884	31071964	lod=37
5	31071980	31071994	lod=16
5	31072043	31072096	lod=48
5	31072178	31072194	lod=20
5	31072278	31072299	lod=20
5	31072712	31072779	lod=29
5	31079439	31079477	lod=25
5	31080512	31080533	lod=23
5	31081161	31081187	lod=29
5	31081228	31081248	lod=26
5	31081517	31081566	lod=27
5	31081748	31081770	lod=21
5	31082319	31082347	lod=33
5	31082505	31082514	lod=16
5	31082971	31083074	lod=84
5	31083165	31083246	lod=86
5	31083510	31083531	lod=19
5	31083681	31083764	lod=29
5	31083809	31083962	lod=48
5	31083987	31084109	lod=43
5	31084114	31084223	lod=67
5	31084232	31084252	lod=18
5	31084853	31084868	lod=17
5	31084882	31084948	lod=42
5	31084971	31085017	lod=28
5	31085838	31085855	lod=19
5	31085925	31086123	lod=179
5	31086386	31086399	lod=20
5	31087078	31087199	lod=60
5	31087456	31087468	lod=20
5	31087474	31087536	lod=29
5	31088285	31088622	lod=382
5	31088633	31088839	lod=112
5	31088847	31088861	lod=18
5	31088879	31088888	lod=20
5	31089064	31089092	lod=28
5	31089423	31089581	lod=470
5	31089585	31089944	lod=776
5	31089949	31090023	lod=185
5	31090035	31090044	lod=20
5	31090074	31090083	lod=22
5	31090100	31090111	lod=23
5	31092260	31092311	lod=46
5	31092327	31092475	lod=137
5	31093495	31093523	lod=24
5	31095030	31095295	lod=225
5	31095413	31095491	lod=64
5	31095516	31095686	lod=238
5	31095691	31095698	lod=22
5	31095719	31095786	lod=60
5	31095800	31095829	lod=18
5	31095959	31095969	lod=18
5	31096070	31096081	lod=17
5	31096994	31097010	lod=18
5	31097071	31097088	lod=23
5	31097095	31097437	lod=460
5	31097595	31097632	lod=41
5	31097671	31097702	lod=22
5	31097728	31097757	lod=28
5	31097852	31097876	lod=21
5	31097912	31098012	lod=60
5	31098272	31098289	lod=17
5	31098576	31098595	lod=20
5	31098751	31098776	lod=19
5	31098871	31099195	lod=372
5	31099222	31099238	lod=19
5	31099590	31099706	lod=117
5	31099729	31099985	lod=184
5	31100005	31100030	lod=45
5	31100059	31100141	lod=107
5	31100166	31100309	lod=198
5	31100326	31100405	lod=58
5	31100426	31100450	lod=17
5	31100500	31100514	lod=20
5	31100734	31100849	lod=122
5	31100868	31100921	lod=45
5	31100987	31101001	lod=26
5	31101017	31101030	lod=20
5	31101817	31101890	lod=91
5	31101919	31101956	lod=31
5	31101993	31102014	lod=27
5	31103959	31104013	lod=27
5	31104026	31104204	lod=206
5	31104289	31104306	lod=17
5	31105696	31105725	lod=40
5	31112113	31112129	lod=20
5	31112427	31112444	lod=20
5	31112792	31112819	lod=19
5	31113101	31113152	lod=33
5	31113177	31113214	lod=22
5	31113306	31113360	lod=38
5	31113429	31113479	lod=36
5	31113497	31113583	lod=74
5	31113629	31113680	lod=43
5	31115000	31115027	lod=24
5	31115113	31115144	lod=23
5	31115195	31115211	lod=18
5	31115223	31115418	lod=223
5	31115531	31115582	lod=29
5	31116780	31116813	lod=27
5	31116873	31116892	lod=21
5	31117090	31117114	lod=24
5	31118286	31118371	lod=43
5	31118400	31118433	lod=21
5	31121220	31121698	lod=539
5	31121723	31121787	lod=72
5	31121910	31121945	lod=27
5	31122624	31122659	lod=38
5	31122707	31122746	lod=40
5	31122762	31122908	lod=117
5	31122924	31122957	lod=27
5	31122977	31123257	lod=342
5	31123304	31123329	lod=27
5	31123688	31123726	lod=31
5	31123811	31123826	lod=18
5	31125744	31125765	lod=20
5	31125837	31125850	lod=19
5	31126236	31126260	lod=25
5	31127006	31127017	lod=16
5	31127032	31127089	lod=70
5	31127106	31127119	lod=17
5	31127448	31127580	lod=100
5	31128335	31128351	lod=25
5	31128540	31128553	lod=22
5	31128909	31128941	lod=35
5	31130803	31130947	lod=128
5	31130959	31131020	lod=72
5	31131045	31131158	lod=174
5	31131215	31131252	lod=33
5	31131602	31131611	lod=17
5	31132062	31132074	lod=19
5	31132901	31132936	lod=44
5	31132991	31133025	lod=21
5	31133200	31133400	lod=114
5	31133732	31134108	lod=345
5	31134525	31134571	lod=24
5	31136928	31136953	lod=22
5	31137840	31137869	lod=19
5	31139278	31139293	lod=16
5	31139463	31139530	lod=26
5	31141828	31141848	lod=20
5	31141936	31142040	lod=115
5	31142047	31142140	lod=75
5	31142181	31142608	lod=482
5	31142621	31142649	lod=19
5	31142662	31142672	lod=18
5	31142699	31142713	lod=21
5	31142756	31142775	lod=45
5	31142943	31143009	lod=89
5	31143038	31143131	lod=76
5	31143156	31143256	lod=162
5	31143288	31143339	lod=76
5	31143371	31143384	lod=25
5	31144093	31144113	lod=26
5	31144191	31144218	lod=19
5	31144582	31144609	lod=27
5	31148507	31148519	lod=25
5	31148633	31148803	lod=76
5	31148853	31148899	lod=49
5	31148917	31149024	lod=81
5	31149051	31149092	lod=29
5	31149533	31149552	lod=17
5	31152973	31153022	lod=21
5	31154916	31154977	lod=36
5	31155409	31155554	lod=126
5	31155557	31155647	lod=102
5	31155680	31155830	lod=107
5	31155839	31155927	lod=36
5	31155987	31156028	lod=31
5	31156038	31156071	lod=22
5	31156201	31156246	lod=42
5	31156262	31156551	lod=378
5	31156721	31156787	lod=43
5	31157115	31157136	lod=28
5	31157155	31157291	lod=137
5	31157310	31157374	lod=47
5	31157420	31157432	lod=17
5	31157454	31157467	lod=25
5	31157554	31157574	lod=17
5	31158316	31158343	lod=19
5	31158368	31158460	lod=35
5	31158932	31159358	lod=566
5	31159364	31159675	lod=233
5	31166401	31166424	lod=18
5	31167079	31167177	lod=71
5	31167222	31167254	lod=27
5	31167351	31167387	lod=22
5	31167608	31167627	lod=21
5	31169026	31169054	lod=23
5	31169161	31169178	lod=29
5	31169332	31169344	lod=18
5	31169407	31169550	lod=153
5	31169629	31169645	lod=24
5	31169874	31169935	lod=48
5	31169956	31169974	lod=21
5	31170001	31170021	lod=24
5	31172339	31172358	lod=19
5	31172490	31172525	lod=20
5	31172722	31172741	lod=18
5	31174280	31174290	lod=19
5	31175964	31176078	lod=95
5	31176105	31176120	lod=23
5	31176223	31176243	lod=28
5	31177805	31177833	lod=18
5	31179126	31179179	lod=53
5	31179278	31179307	lod=23
5	31179326	31179363	lod=39
5	31179454	31179482	lod=26
5	31179696	31179794	lod=42
5	31179813	31179866	lod=35
5	31179931	31179951	lod=22
5	31179964	31180000	lod=31
5	31180066	31180157	lod=53
5	31180289	31180572	lod=591
5	31180598	31180609	lod=17
5	31180690	31180702	lod=18
5	31183234	31183401	lod=158
5	31183410	31183576	lod=194
5	31183589	31183670	lod=82
5	31183691	31183768	lod=57
5	31183784	31183894	lod=106
5	31183991	31184012	lod=22
5	31184244	31184263	lod=19
5	31184773	31184794	lod=21
5	31188779	31188953	lod=91
5	31190504	31190533	lod=21
5	31190621	31191139	lod=537
5	31192159	31192283	lod=70
5	31192291	31192316	lod=22
5	31192401	31192428	lod=20
5	31192455	31192484	lod=28
5	31192498	31192505	lod=15
5	31192554	31192904	lod=767
5	31192920	31192941	lod=44
5	31192959	31193075	lod=191
5	31193221	31193240	lod=24
5	31196457	31196649	lod=106
5	31197428	31197447	lod=17
5	31197592	31197643	lod=34
5	31197672	31197705	lod=28
5	31197724	31197885	lod=155
5	31197978	31197990	lod=18
5	31198086	31198095	lod=16
5	31198293	31198431	lod=141
5	31198452	31198620	lod=114
5	31205041	31205211	lod=114
5	31205573	31205629	lod=28
5	31205738	31205756	lod=26
5	31205771	31205819	lod=22
5	31205880	31205888	lod=16
5	31206304	31206340	lod=30
5	31206379	31206399	lod=18
5	31206436	31206474	lod=21
5	31206795	31206822	lod=29
5	31206869	31206880	lod=19
5	31207820	31207878	lod=24
5	31209314	31209327	lod=20
5	31209466	31209531	lod=43
5	31209545	31209581	lod=28
5	31209598	31209656	lod=43
5	31209664	31209918	lod=287
5	31209944	31209970	lod=34
5	31210313	31210325	lod=23
5	31210457	31210466	lod=16
5	31210514	31210530	lod=18
5	31210582	31210595	lod=20
5	31211272	31211289	lod=17
5	31211388	31211397	lod=16
5	31211430	31211439	lod=18
5	31211468	31211484	lod=17
5	31211525	31211568	lod=33
5	31211587	31211658	lod=41
5	31211686	31211725	lod=22
5	31211817	31211846	lod=21
5	31212909	31212934	lod=23
5	31214601	31214677	lod=56
5	31214930	31214974	lod=24
5	31215048	31215083	lod=26
5	31215180	31215195	lod=17
5	31216450	31216558	lod=43
5	31216874	31216932	lod=29
5	31217365	31217415	lod=26
5	31217579	31217592	lod=17
5	31217601	31218259	lod=721
5	31218452	31218593	lod=138
5	31218608	31218665	lod=62
5	31218745	31218856	lod=86
5	31218932	31218957	lod=25
5	31222325	31222382	lod=24
5	31222548	31222633	lod=30
5	31222716	31222738	lod=19
5	31225072	31225100	lod=24
5	31225493	31225540	lod=33
5	31225553	31225628	lod=96
5	31225680	31225779	lod=51
5	31226024	31226332	lod=149
5	31227561	31227656	lod=45
5	31228233	31228251	lod=18
5	31228268	31228411	lod=67
5	31228560	31228583	lod=28
5	31228876	31228886	lod=21
5	31229254	31229267	lod=16
5	31229331	31229359	lod=28
5	31229440	31229636	lod=207
5	31229799	31229836	lod=34
5	31230004	31230011	lod=15
5	31230114	31230128	lod=27
5	31230412	31230486	lod=52
5	31230786	31230873	lod=83
5	31230893	31230917	lod=38
5	31231313	31231328	lod=17
5	31231474	31231505	lod=33
5	31231512	31231578	lod=49
5	31231711	31231750	lod=22
5	31231776	31231786	lod=18
5	31231802	31231853	lod=57
5	31231869	31231999	lod=89
5	31232016	31232045	lod=32
5	31232384	31232430	lod=48
5	31233057	31233252	lod=170
5	31233279	31233303	lod=23
5	31233348	31233487	lod=84
5	31233643	31233663	lod=22
5	31234212	31234250	lod=35
5	31234463	31234480	lod=18
5	31234716	31234733	lod=21
5	31235621	31235655	lod=23
5	31235785	31235810	lod=24
5	31235830	31235946	lod=47
5	31237385	31237428	lod=37
5	31237463	31237496	lod=24
5	31237505	31237546	lod=31
5	31237891	31237905	lod=17
5	31238052	31238068	lod=17
5	31238181	31238209	lod=23
5	31238751	31238800	lod=45
5	31238933	31238993	lod=60
5	31240271	31240282	lod=16
5	31240401	31240409	lod=15
5	31240461	31240503	lod=26
5	31240612	31240640	lod=30
5	31240748	31240842	lod=85
5	31240866	31240903	lod=27
5	31240933	31240942	lod=17
5	31241139	31241163	lod=31
5	31241174	31241195	lod=32
5	31241274	31241425	lod=282
5	31241561	31241579	lod=23
5	31241671	31241683	lod=16
5	31242316	31242330	lod=21
5	31243588	31243622	lod=24
5	31244560	31244580	lod=20
5	31244749	31244995	lod=120
5	31246957	31247119	lod=179
5	31247198	31247332	lod=66
5	31247400	31247424	lod=20
5	31247434	31247463	lod=26
5	31249403	31249601	lod=190
5	31249695	31249783	lod=61
5	31250199	31250252	lod=39
5	31250281	31250454	lod=151
5	31250517	31250559	lod=33
5	31250755	31250789	lod=19
5	31250911	31250938	lod=38
5	31251019	31251065	lod=31
5	31251240	31251260	lod=21
5	31253906	31253970	lod=35
5	31253991	31254300	lod=217
5	31255971	31255993	lod=18
5	31256080	31256101	lod=19
5	31256140	31256223	lod=41
5	31256336	31256348	lod=19
5	31256903	31256968	lod=39
5	31256978	31256996	lod=17
5	31257338	31257365	lod=18
5	31257886	31257913	lod=18
5	31257965	31257976	lod=20
5	31257987	31258016	lod=32
5	31258103	31258223	lod=64
5	31258328	31258342	lod=27
5	31258371	31258401	lod=22
5	31258660	31258696	lod=23
5	31258986	31259010	lod=18
5	31259032	31259101	lod=57
5	31259195	31259420	lod=351
5	31259431	31259582	lod=134
5	31262584	31262827	lod=87
5	31265250	31265266	lod=18
5	31265302	31265367	lod=33
5	31265383	31265507	lod=81
5	31265687	31265885	lod=172
5	31266087	31266103	lod=17
5	31266587	31266623	lod=20
5	31266868	31266936	lod=39
5	31266970	31266988	lod=17
5	31267074	31267096	lod=25
5	31267889	31267948	lod=30
5	31267981	31268186	lod=359
5	31268618	31268629	lod=17
5	31270029	31270062	lod=25
5	31271470	31271540	lod=47
5	31271590	31271649	lod=35
5	31271949	31271970	lod=19
5	31272061	31272108	lod=36
5	31272116	31272126	lod=18
5	31272138	31272279	lod=83
5	31272651	31272682	lod=19
5	31272744	31272887	lod=128
5	31272923	31273002	lod=46
5	31273416	31273452	lod=40
5	31273463	31273522	lod=53
5	31274991	31275023	lod=28
5	31275096	31275123	lod=31
5	31275453	31275483	lod=19
5	31275566	31275622	lod=35
5	31275641	31275673	lod=19
5	31275684	31275694	lod=17
5	31275718	31275736	lod=23
5	31275758	31275906	lod=86
5	31279323	31279352	lod=28
5	31279599	31279623	lod=20
5	31279756	31279889	lod=71
5	31283430	31283481	lod=23
5	31283505	31283529	lod=28
5	31283806	31283847	lod=54
5	31283858	31283953	lod=81
5	31283967	31284098	lod=108
5	31284114	31284155	lod=46
5	31284225	31284544	lod=317
5	31287866	31288102	lod=229
5	31288292	31288321	lod=26
5	31288376	31288485	lod=101
5	31290886	31290913	lod=22
5	31291115	31291127	lod=19
5	31291154	31291219	lod=40
5	31291238	31291502	lod=376
5	31291705	31291715	lod=18
5	31291936	31291951	lod=17
5	31291962	31291992	lod=31
5	31292014	31292095	lod=49
5	31293646	31293740	lod=47
5	31295113	31295136	lod=22
5	31295505	31295570	lod=23
5	31296405	31296455	lod=58
5	31296467	31296771	lod=282
5	31296860	31296873	lod=16
5	31296885	31296931	lod=27
5	31297380	31297437	lod=32
5	31297516	31297547	lod=19
5	31297576	31297871	lod=164
5	31297895	31297917	lod=19
5	31297933	31297958	lod=21
5	31297976	31298000	lod=20
5	31298175	31298211	lod=27
5	31298889	31298904	lod=17
5	31300240	31300259	lod=20
5	31300467	31300502	lod=19
5	31300665	31300712	lod=33
5	31300713	31300876	lod=208
5	31300889	31300901	lod=17
5	31300921	31301012	lod=87
5	31301062	31301072	lod=21
5	31301216	31301318	lod=69
5	31301378	31301397	lod=21
5	31302650	31302670	lod=19
5	31302771	31303013	lod=149
5	31303075	31303280	lod=241
5	31303337	31303401	lod=109
5	31303407	31303697	lod=478
5	31303703	31303752	lod=65
5	31303758	31303894	lod=142
5	31303934	31303949	lod=24
5	31304201	31304261	lod=48
5	31304293	31304310	lod=23
5	31304531	31304563	lod=21
5	31304580	31304654	lod=32
5	31304737	31304763	lod=32
5	31304999	31305036	lod=25
5	31307773	31307806	lod=25
5	31308851	31308890	lod=30
5	31309705	31309731	lod=21
5	31309777	31309834	lod=44
5	31309885	31309938	lod=43
5	31310347	31310400	lod=26
5	31311559	31311612	lod=23
5	31312156	31312197	lod=21
5	31312286	31312334	lod=45
5	31313778	31313896	lod=36
5	31314145	31314160	lod=18
5	31314432	31314471	lod=19
5	31314612	31314642	lod=27
5	31315839	31315852	lod=17
5	31316856	31316969	lod=48
5	31317274	31317632	lod=336
5	31318543	31318759	lod=149
5	31320822	31320887	lod=36
5	31320897	31321021	lod=51
5	31321047	31321082	lod=28
5	31321107	31321135	lod=23
5	31324157	31324195	lod=22
5	31324221	31324230	lod=19
5	31326200	31326218	lod=22
5	31326263	31326483	lod=345
5	31326729	31326751	lod=48
5	31326835	31326957	lod=172
5	31327020	31327039	lod=18
5	31327079	31327165	lod=53
5	31327554	31327706	lod=109
5	31327722	31327747	lod=35
5	31327754	31327817	lod=63
5	31329250	31329265	lod=19
5	31329576	31329580	lod=17
5	31329785	31330128	lod=830
5	31330864	31330916	lod=28
5	31332681	31332697	lod=19
5	31333121	31333133	lod=17
5	31333144	31333278	lod=298
5	31333300	31333374	lod=52
5	31333405	31333419	lod=30
5	31333426	31333453	lod=24
5	31334209	31334316	lod=62
5	31334448	31334472	lod=31
5	31334520	31334546	lod=25
5	31334575	31334587	lod=18
5	31334906	31334919	lod=17
5	31335101	31335117	lod=25
5	31335240	31335280	lod=53
5	31335325	31335481	lod=442
5	31335485	31335510	lod=56
5	31335532	31335542	lod=21
5	31335611	31335626	lod=25
5	31335700	31335706	lod=20
5	31335730	31335807	lod=55
5	31335830	31335929	lod=87
5	31335957	31335995	lod=40
5	31336019	31336031	lod=19
5	31337961	31338097	lod=208
5	31338102	31338169	lod=167
5	31339657	31339818	lod=162
5	31339826	31339863	lod=28
5	31339972	31340066	lod=44
5	31341035	31341092	lod=88
5	31341109	31341135	lod=49
5	31341157	31341192	lod=53
5	31341199	31341204	lod=15
5	31341212	31341225	lod=26
5	31341241	31341246	lod=22
5	31341250	31341272	lod=26
5	31341280	31341296	lod=41
5	31341527	31341601	lod=41
5	31341614	31341654	lod=26
5	31341682	31341734	lod=29
5	31342021	31342058	lod=19
5	31342131	31342140	lod=18
5	31344098	31344109	lod=16
5	31344413	31344462	lod=35
5	31344792	31344812	lod=18
5	31344864	31344890	lod=21
5	31345063	31345087	lod=19
5	31348205	31348232	lod=23
