FBgn	gene	chromosome	start	stop	BS40	BS43	BS46	BS49	BS54	BS55	BS58	BS62	BS66	BS67	BS71	BS73	BS107	BS111	BS113	BS196	BS200	BS203	BS129	BS133	BS136	BS137	BS140	BS143	BS150	BS156	BS162	BS153	BS159	BS165
FBgn0259178	5PtaseI	chr3R	20866120	20870902	14.13167	2.917011	2.297145	3.869411	5.274278	6.660639	12.34529	8.817629	11.33197	10.22433	7.902974	10.50396	5.406239	3.887801	2.416516	3.280066	4.239073	6.05544	5.958346	6.99621	8.89147	8.49287	8.58649	3.654107	5.2877	4.805503	4.964449	5.687311	12.68363	11.35879
FBgn0041707	CG1168	chr3R	1202469	1203702	0.160939	0.257393	0.249607	0.572991	0.889099	3.515198	3.85614	11.7221	27.72655	50.2903	57.1277	54.4474	83.19734	35.5874	14.04264	15.14564	17.86272	15.42213	13.2446	22.99596	30.8398	46.7918	63.849	47.6461	55.5822	66.77359	95.56128	35.52351	11.261447	12.66437
FBgn0052208	CG32208	chr3L	19464785	19465333	0.192535	0.175957	0.0	0.0	0.315671	0.0	0.024169	1.32584	20.9604	65.7293	1.71286	1.25234	0.381235	7.75132	74.9551	0.454563	0.090978	0.0713501	0.0846559	32.7032	3.49315	1.14939	0.101154	1.79311	0.0314022	0.0642625	0.0	0.0	0.0	0.0
FBgn0028965	CG9933	chr2L	13019568	13021390	51.503	30.0853	50.3734	53.0488	37.2866	32.6179	27.403	21.6475	17.343	15.891	12.0976	11.8959	13.8557	14.5742	12.2677	21.3594	28.0276	30.8237	28.4733	32.428	37.6729	27.5119	16.3744	13.293	16.3511	19.4398	21.9705	23.8229	33.8052	34.5323
FBgn0028550	CG11405	chrX	1136717	1169317	0.908624	0.464088	0.190774	0.482004	1.056935	1.66802	4.874219	4.8675	11.84291	27.89623	20.07305	25.15676	12.35256	5.96977	8.05336	4.26376	6.05253	3.821138	2.31007	2.150174	1.15341	1.940121	5.766945	3.88256	7.33401	8.01365	9.04732	5.241168	3.398278	3.83752
FBgn0035244	CG7955	chr3L	1618391	1623413	32.67597	10.29299	22.25843	19.084963	16.72139	16.26146	12.98778	13.05923	20.10188	40.78376	58.67588	58.47382	53.87401	34.56735	35.71389	17.974687	15.13924	13.008442	11.670698	19.5511	17.567793	16.640013	21.017731	33.79284	35.69989	39.80518	46.3609	38.24535	28.39919	30.46567
FBgn0040510	CG17176	chr2L	12921024	12925503	0.0	0.0180965	0.114069	0.0269016	0.0108219	0.00415778	0.0	0.00447202	0.00421315	0.0	0.0	0.00412352	0.0	0.0	0.0276787	0.961455	2.91216	4.303039	3.60646	6.639125	9.4243	12.194144	12.04874	7.37212	15.148037	17.455835	16.9288	0.00741761	0.0	0.0
FBgn0040509	CG17174	chr2L	12916813	12921014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00456064	0.00671654	0.00818455	0.0	0.0	0.0	0.31193	0.7679	1.26811	1.04179	1.52185	2.32293	2.54272	2.0477	1.22615	2.49966	3.24563	3.11701	0.0110421	0.00579015	0.0
FBgn0040508	CG5983	chr2L	12912515	12916790	0.0	0.0121701	0.00590101	0.0	0.00545838	0.0	0.0	0.0178931	0.012643	0.00919353	0.0338487	0.0123741	0.00405666	0.0	0.0276865	2.044429	5.764154	7.98577	7.43478	13.12532	20.98319	22.03796	19.07835	11.668342	22.94859	31.72694	29.53273	0.0111296	0.00583601	0.0
FBgn0040507	CG5712	chr3L	2237600	2243737	0.0546189	0.410768	0.642895	0.23575	0.541035	1.11588	2.02548	5.11048	5.45205	6.53204	7.05147	6.26301	6.30529	5.56355	5.9026	9.12814	6.72109	3.25962	2.24145	5.69272	2.62636	1.48799	0.780164	2.36862	5.0703	8.95181	10.9088	6.05472	2.96215	2.91867
FBgn0040506	CG17178	chr2L	12925542	12929819	0.0	0.0499233	0.0445474	0.00927677	0.0167932	0.00426513	0.00673044	0.0	0.0	0.00942824	0.0	0.0	0.0	0.0	0.0354917	0.4445162	0.696712	0.720256	0.751255	1.17985	1.50426	1.27268	0.90844	0.5316935	1.170079	2.16087	2.02897	0.00380457	0.0	0.0
FBgn0026611	CG6671	chr2R	9830887	9845645	83.02389	116.27546	89.59563	93.5377	90.91485	63.31817	85.90854	87.82309	72.25513	53.24327	61.54912	60.32331	40.07989	24.30913	16.982162	10.954726	38.73511	48.57771	53.40022	45.06264	54.73854	47.80458	32.44345	22.013379	27.259371	25.054011	28.08525	43.084794	51.78973	50.722677
FBgn0087035	CG7439	chr3L	15547196	15554211	44.3723	65.54709	77.9993	64.7495	66.87389	55.03578	71.2308	56.8168	59.29521	51.43161	46.51019	54.0048	28.61379	29.37906	31.7545	58.236	80.8551	84.1322	86.8361	75.5585	75.757	59.62589	51.36986	30.29453	46.59773	46.854	52.22315	50.44817	60.82601	54.3763
FBgn0250816	AGO3	chr3L	23547627	23682750	28.3082	37.98566	11.8747	5.244955	10.326129	4.65412	10.967026	2.85318	7.448907	1.914085	7.763257	13.253784	0.256076	0.4835297	0.309491	0.35834	0.620651	1.226335	1.320431	1.541587	1.932974	2.181491	1.63922	0.889919	1.44531	1.518533	0.985151	5.023822	29.99	18.15173
FBgn0031392	CG7263	chr2L	2151694	2155542	69.13095	18.011422	23.33854	29.44543	28.05649	31.33429	32.73468	27.961434	24.36171	17.77159	19.29386	17.77124	44.44496	44.61828	29.53735	11.17216	17.30914	21.18975	19.9849	26.35487	40.04131	47.9713	39.5811	29.36604	41.62014	53.98151	58.86023	35.59489	60.11484	61.27754
FBgn0086346	ALiX	chr3R	23522074	23526017	61.082	57.7208	27.292	33.44462	42.3973	52.9551	41.4525	41.4193	34.3425	33.6701	47.357	51.4033	34.2257	32.4246	37.9987	39.252	49.4996	56.1164	74.3343	61.358	58.3358	47.4201	32.2054	36.9979	48.0705	59.4849	73.4107	44.3822	46.007	50.7101
FBgn0030089	CG9113	chrX	9002614	9011798	82.17167	45.96747	18.063178	25.08696	31.02175	32.56458	35.141796	42.03039	34.47344	30.48923	29.1159	27.850785	28.180032	26.16017	20.742522	14.769292	22.568793	23.12149	24.83032	24.39566	29.209885	23.68849	15.410869	17.084754	19.910903	21.735817	28.16694	39.76721	44.72633	48.41205
FBgn0039132	CG5864	chr3R	19784200	19788299	42.55938	38.38032	23.07321	30.37617	45.47717	45.81327	61.83893	28.59028	39.97731	22.11187	25.74963	37.88352	22.44207	34.94639	23.98279	22.12366	25.41096	37.61753	35.82633	28.45283	33.23782	30.97646	23.95906	13.8741	21.90541	21.6904	19.01478	19.36987	44.84223	38.37342
FBgn0023417	CG7807	chr3L	21579927	21606453	0.0672496	0.552934	0.907938	3.662777	4.582267	7.85888	6.536814	4.259757	3.454209	3.376563	6.087632	4.910511	5.655327	2.446871	0.805245	2.966142	6.6172	8.44287	8.39086	9.22959	14.613589	6.86247	2.182634	1.581819	1.157763	1.134157	1.245661	0.600215	0.2026641	0.1335978
FBgn0043012	CG6056	chr3R	17094861	17095806	62.1454	43.8777	84.9123	90.2415	90.5183	82.2124	80.1216	58.4645	66.815	60.9016	42.8392	48.7184	51.5835	44.1112	38.6942	45.0759	58.0118	81.628	89.4018	63.1434	63.9392	66.9217	58.4636	43.2542	34.2553	31.1468	32.338	48.7714	58.8073	58.9567
FBgn0024833	CG9388	chr3R	5383402	5385453	90.6062	88.7794	21.33865	33.0202	52.3299	65.2495	57.3839	63.9754	54.6248	43.4515	69.9478	56.7048	36.003	41.0369	31.8176	31.299	39.2852	44.9855	44.3338	38.8037	40.8269	33.116	24.6354	25.7044	30.4504	33.4529	40.6097	48.7429	59.1346	61.0441
FBgn0024832	CG7057	chr3R	18288084	18290326	58.97322	19.7785	57.0368	65.89601	59.75571	93.81899	55.42389	48.41642	41.7166	39.88438	34.46815	35.00048	41.98804	33.36769	23.09529	26.06272	39.07481	48.2464	56.42879	42.82053	49.33958	49.00342	38.50258	29.69497	30.45849	31.18739	31.20456	42.2023	52.45498	54.83162
FBgn0052707	CG32707	chrX	8976667	8979912	32.18429	17.62272	16.09015	13.30909	10.50676	7.00153	5.246923	3.94486	2.4594	1.546144	1.18559	1.387185	4.40643	3.967346	3.35526	4.243804	5.81464	6.35793	6.0996	8.19085	9.8834	5.82346	3.50496	2.91922	4.30709	6.36052	7.15939	8.99381	15.9118	16.52768
FBgn0029879	CG14444	chrX	6491077	6493773	86.6261	7.05924	1.607074	0.610852	0.829552	0.258149	0.323937	0.414702	0.134502	0.188624	0.102885	0.194327	0.0554869	0.176701	1.217619	0.870691	0.832003	0.606367	0.284758	0.487114	0.22625	0.286556	0.435949	1.07384	0.739395	0.937563	1.27842	38.17978	71.3538	69.3019
FBgn0261112	CG7828	chr3L	11089571	11093767	28.066021	11.001393	10.956455	6.171686	6.86104	7.351185	9.739907	6.068087	6.05651	4.705379	3.653699	5.230167	7.120007	9.295589	8.43785	9.586631	15.092718	18.72107	18.384898	27.00551	35.58623	36.43445	28.41693	23.83528	35.60367	52.19094	52.8184	12.23452	20.57775	20.00471
FBgn0033807	CG12251	chr2R	9099833	9102109	0.100772	1.202008	0.661844	0.484805	0.181112	1.71964	2.025936	3.90498	3.887561	4.25891	3.202927	2.231164	6.33971	6.56015	13.55557	10.07153	6.16445	2.424502	1.948649	2.364306	3.60471	8.73511	30.69986	207.4275	98.7532	65.1699	50.37395	71.29557	8.67664	6.99328
FBgn0039595	CG10001	chr3R	24562830	24570673	0.0	0.0616605	0.042711	0.0130946	0.0474088	0.133918	0.28899	0.993059	3.107224	7.60731	14.09052	14.20624	15.0789	5.87836	3.348264	5.080748	11.13419	16.86946	10.295509	8.101593	5.524331	1.70012	1.85339	2.46304	4.0873	5.12802	4.75818	3.111536	1.20808	1.12893
FBgn0058064	CG40064	chr3LHet	41025	42766	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0102039	0.0	0.0	0.0	0.0	0.0	0.0	0.333739	0.749306	1.226071	1.413601	2.398912	3.139362	4.248401	4.148715	1.46311	4.937711	4.612853	3.365046	0.00898242	0.0	0.0
FBgn0034606	CG18375	chr2R	17105353	17138655	1.729044	38.78455	52.27668	35.52552	30.08578	22.82188	20.43722	21.1888	13.57887	12.27107	12.11684	10.0722	9.74869	4.84024	3.25522	4.99813	10.96624	12.91762	10.259327	18.10582	26.73678	27.21962	9.26691	9.62559	8.64777	9.1496	11.77097	7.65964	3.722169	3.91744
FBgn0030343	CG1886	chrX	11749006	11758512	64.21542	25.83606	14.65873	27.89111	28.26547	34.32464	30.50307	43.1323	29.56171	18.002389	26.35642	21.29002	32.9725	28.48501	23.90818	14.514741	23.23796	27.9578	50.02496	39.87617	36.40597	53.08653	30.71053	40.8946	51.62391	58.8122	75.9983	44.0329	37.40755	40.34529
FBgn0020236	CG8322	chr2R	11879930	11888794	99.5887	37.27289	80.9289	73.634	55.18815	68.6645	113.604	165.20677	55.48677	37.5541	60.018	68.7198	90.74982	160.0557	158.54076	78.8315	78.993	123.1887	82.1524	74.5968	52.60431	76.58543	46.69205	74.0558	133.6711	130.5017	108.8684	108.3011	119.5198	121.77935
NA	ATPase6	chrM	4061	4736	0.530026	2.23074	2.0242	0.615854	2.11534	1.11081	2.60886	0.0	1.58909	0.457395	0.638161	0.475226	0.169959	0.811866	2.06619	1.57335	0.362497	0.697804	1.59454	1.34285	0.339152	0.931795	1.63049	0.455792	0.909965	1.69924	0.0	0.0388573	1.46704	1.13978
NA	ATPase8	chrM	3907	4068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FBgn0016119	CG4412	chr3R	19180867	19181860	206.58	271.593	214.847	121.333	146.521	204.242	221.473	246.093	303.29	402.608	485.718	523.894	532.053	600.415	519.36	298.19	158.734	135.63	136.889	122.382	152.938	229.685	580.36	770.742	805.523	548.385	290.215	626.485	298.768	244.032
FBgn0019644	CG8189	chr3L	9722208	9724336	256.628	325.149	244.56	202.462	192.604	340.081	236.658	384.0	424.764	541.205	667.445	563.4469	947.815	835.923	799.936	450.377	252.853	187.47608	167.558	172.576	184.3187	346.065	872.031	1606.01	1274.98	998.641	641.492	1311.24	422.921	321.724
FBgn0010217	CG11154	chr4	1052056	1055668	691.756	632.933	575.591	524.982	535.786	760.816	923.928	921.031	1281.866	1402.527	1772.516	1898.567	2301.855	2446.143	2326.078	1151.023	577.068	440.062	377.671	342.082	332.307	794.875	3008.89	3214.7	3338.08	1876.596	801.342	2786.85	1337.458	996.554
FBgn0086848	CG6030	chr3R	14920673	14921993	315.3958	319.6351	221.0727	187.664	202.2038	299.2634	276.2318	345.0644	403.2122	586.3054	698.8334	684.3333	901.962	976.86	802.679	445.832	240.5139	200.3308	184.399	184.7218	206.5417	316.1529	850.426	1234.893	1246.942	842.407	437.5962	997.514	437.4677	350.7272
FBgn0020235	CG7610	chr3R	25573367	25574858	274.2822	175.5723	94.27666	114.5424	150.1381	280.6279	237.7097	404.21	402.2223	499.2481	602.6585	540.6241	854.095	851.6104	802.6282	398.4867	208.0699	162.067	153.01248	134.76946	151.04557	278.6036	802.515	1360.94	1113.3502	698.6481	358.859	1109.09	374.9509	304.1422
FBgn0039946	CG17172	chrXHet	84738	87149	11.3652	8.57317	6.58809	6.60351	7.01725	6.316	4.74053	3.41686	2.6044	2.41912	2.6771	2.56141	1.47612	0.980947	0.999118	1.60731	2.5357	3.04974	3.18707	4.32364	4.49421	3.34127	2.23546	1.94332	1.85496	2.70001	2.59405	3.56447	6.42339	6.23582
FBgn0027885	CG6582	chr2L	17474860	17477928	35.40528	102.2746	166.7306	166.8644	138.853	80.3085	90.4463	51.14264	46.2856	30.62069	35.05042	36.17222	32.52465	36.1358	27.63843	35.36436	55.6882	75.5143	69.4542	81.7126	103.1439	89.2867	44.3993	21.50831	32.42684	42.94054	40.74618	40.91914	67.5723	60.03733
FBgn0027094	CG13391	chr2L	8378151	8381806	91.6306	18.61541	28.83486	41.19387	49.8286	79.81563	66.24622	68.9794	42.1553	19.0668	16.04	14.9097	68.4382	88.736	66.1398	34.4923	41.1871	43.9803	51.3	37.0874	50.1431	64.4093	27.5495	20.8892	23.1955	24.1422	29.8099	76.6306	99.3396	90.9658
FBgn0028962	CG4633	chr3L	5139204	5142954	15.7274	3.11401	2.41507	2.88143	4.37178	6.15933	6.1103	5.95194	5.76159	4.8074	5.26324	6.24066	12.932	12.722	12.6777	5.52424	5.41468	5.17179	4.79559	6.70973	6.66488	10.2823	7.2595	5.34601	7.43231	7.01889	7.7958	11.3111	14.0526	14.0282
FBgn0027093	CG9020	chrX	15735713	15738284	41.56019	9.04162	25.40519	31.22061	33.40614	36.26631	42.66378	21.8331	21.13861	14.18764	22.47666	23.8995	51.3299	54.29995	40.3861	21.41769	21.62298	27.06259	24.40474	18.61118	18.5437	17.70845	17.65079	9.39207	12.23439	10.30586	9.727507	28.25093	51.22364	48.22865
FBgn0086443	CG10687	chr2L	19129399	19131997	102.701	41.46773	25.03359	34.4131	44.7681	82.1637	57.9823	58.9918	43.577	34.2383	35.6126	32.3233	92.9883	94.5331	75.1915	49.4303	51.7028	53.29521	52.4731	43.97498	53.18563	40.033	31.0446	28.9979	30.9971	34.4001	41.1867	92.3252	107.347	107.948
FBgn0002069	CG3821	chr2R	8767678	8771427	105.4246	20.14183	30.9705	61.9109	78.4672	94.0826	93.4124	83.9254	70.4209	60.2263	46.8869	49.7267	113.1352	112.2961	106.558	95.161	92.201	126.3338	223.248	163.2041	130.1088	131.9319	62.2981	60.838	45.9937	40.0919	57.1818	112.8474	110.5604	110.9753
FBgn0027091	CG8431	chr2R	12030510	12033415	32.8472	4.78744	6.94532	10.1982	11.4784	13.6244	12.7613	11.5871	10.7745	8.11018	9.73638	9.54828	24.2648	29.2541	21.0022	11.6835	11.7813	12.3687	14.5949	13.8132	14.6008	12.2604	8.0822	7.63228	9.37416	9.47086	10.1248	23.6442	35.8211	34.8202
FBgn0027090	CG10506	chr3R	21088987	21091443	77.7109	30.429	22.1962	21.4545	20.8284	28.4364	20.9746	19.3877	16.2714	14.5286	13.0973	12.4634	43.6957	43.2875	41.041	21.8876	24.9781	24.3215	26.2045	19.8321	24.7958	19.3868	15.8099	15.3708	18.0043	18.1133	21.8833	48.0504	64.7417	66.4058
FBgn0005674	CG5394	chr3R	19777788	19784141	51.9627	14.85526	35.0194	42.293	44.0939	55.5115	82.4182	61.5621	36.9791	19.29133	16.77392	17.9011	50.9704	75.6927	53.9374	23.4872	28.8845	32.179	39.9503	29.3567	43.6758	43.2989	29.689	14.28953	20.43102	16.66269	18.27023	45.0319	66.6716	60.1585
FBgn0027088	CG6778	chr3L	15088159	15090811	69.84993	13.91073	19.94295	55.29444	63.3498	74.5109	69.94572	60.35034	44.70347	28.9306	20.36686	19.25073	57.72786	72.31101	61.716	30.68758	36.3123	41.11478	43.26684	34.39156	45.41299	43.73767	25.99988	17.6988	20.50755	22.31182	23.69461	50.80846	75.0844	74.75305
FBgn0027087	CG6335	chrX	18409358	18414533	109.4784	63.5636	18.84891	17.63802	28.9542	50.25184	29.26466	37.26975	32.061	31.05807	41.59973	34.1334	81.0789	80.05422	71.5673	34.64168	35.57497	41.12654	36.8302	37.28246	42.0409	51.6044	31.3814	35.44015	25.83857	26.60668	32.3761	80.1172	86.5797	93.9
FBgn0027086	CG11471	chr3L	22281690	22285962	62.0855	85.7353	44.45644	35.14307	46.18095	35.33562	53.38993	35.69796	32.57159	17.39797	30.78918	38.0162	46.07911	48.91034	36.70875	18.37289	22.80823	25.24659	23.44379	18.38247	22.50306	26.88663	18.54918	11.267975	15.49744	14.39677	14.48192	39.9067	68.8982	61.1861
FBgn0027085	CG7479	chr3L	4825766	4829073	22.7685	8.39609	10.851874	10.7354	12.71	16.4197	14.4638	12.2537	11.2266	9.159104	7.62655	7.7987	10.9253	13.6486	10.0645	3.8529	3.98709	4.96527	4.89703	4.619173	5.09625	9.28785	6.49602	4.21673	5.5341	5.09233	5.551606	9.89107	15.6123	15.8461
FBgn0027084	CG12141	chrX	9500269	9502917	167.1613	139.4796	51.38552	52.8119	84.2899	102.7304	86.5737	84.5261	54.06485	41.91263	43.64179	37.35864	131.4501	112.5704	94.7922	45.22043	47.63095	48.42823	46.51632	50.76939	58.61676	50.1503	35.52699	31.464	24.73735	23.53835	26.56665	98.1056	117.3946	122.1243
FBgn0027083	CG31322	chr3R	10076740	10085721	21.7756	29.387	13.0309	6.20185	7.70664	9.73233	7.69774	12.5574	10.6684	7.01654	7.8138	5.59987	6.26547	9.60165	8.00998	2.70561	3.86854	4.27576	4.15261	4.74682	7.17604	10.1307	5.88784	3.6851	4.93528	7.09259	7.4567	7.94351	11.2825	12.2887
FBgn0020766	CG13348	chr2R	9855679	9857508	24.08297	11.48864	18.8904	29.77015	38.6007	79.6852	56.9628	44.5136	42.0274	48.6461	37.6326	36.4803	33.2083	35.7982	31.1524	20.53954	17.59224	20.30395	20.65257	18.27905	25.06901	29.7727	38.1163	41.9242	44.0706	40.9184	46.2816	37.5875	23.25767	22.89007
FBgn0027082	CG12186	chr3L	2650166	2651857	7.58523	8.78448	6.10924	5.34497	5.63878	7.65457	6.51781	5.45349	4.769	3.86003	3.52782	3.23796	5.81348	7.00644	6.75029	3.47974	3.91487	3.42954	3.81951	3.32992	4.44084	5.41236	3.94142	1.85005	2.85901	3.40482	3.59931	4.85457	8.26163	7.97179
FBgn0021750	CG4938	chr3R	11166406	11167939	23.4974	3.33956	0.0	0.0	0.0	8.35313	9.65999	13.4922	11.9629	8.11949	0.0	0.0	14.7612	16.3992	12.0504	8.39374	8.92376	10.7083	0.0	10.1361	11.9352	15.3201	13.1566	0.0	7.21205	7.97396	9.25461	14.9964	16.8084	19.7816
FBgn0068539	CG5353	chr2L	12103728	12107030	133.7803	141.1276	78.11105	79.96557	91.35732	103.27949	78.11337	85.06807	76.03887	59.67776	52.17099	53.43181	103.49126	107.98149	83.6361	49.37006	52.05502	50.96791	51.81198	53.46216	65.61981	58.33331	51.1344	29.2403	34.6151	37.49363	44.2349	90.96759	113.61928	108.09026
FBgn0010803	CG9735	chr3R	5089538	5092689	38.9262	9.181014	22.02665	28.25064	30.67684	35.63698	29.68953	22.88843	19.39689	13.95295	17.320165	16.63982	32.70216	35.4113	27.9379	16.85531	18.30425	20.85354	17.39312	15.90516	20.84532	24.39626	19.10792	12.88616	19.13835	22.64005	23.31135	22.6937	37.4314	36.7806
FBgn0027080	CG4561	chr3L	16410434	16412552	74.6675	95.2696	102.074	68.6308	81.8084	80.887	63.1122	57.8832	53.1929	53.8125	60.749	57.8936	90.6439	90.2256	69.5978	43.3458	42.0282	48.0529	46.1319	39.3736	40.4889	37.9611	26.9113	30.0425	29.8304	29.0533	26.1014	60.9698	74.7489	76.4822
FBgn0027079	CG4062	chr2R	9086245	9090316	59.26699	31.37369	21.53766	28.30153	29.42388	32.34465	35.43009	37.58385	22.89032	18.88734	19.43678	16.14444	46.57444	52.86251	37.65656	14.47171	17.47473	18.0558	19.79127	14.011662	18.16839	25.21681	10.836063	8.984177	12.47596	13.71368	16.45976	34.12912	44.19182	44.27661
FBgn0000015	CG11648	chr3R	12752873	12797982	0.3485471	4.28973	18.79808	29.15705	30.890145	17.09043	26.795922	13.806486	13.339778	14.719771	8.798183	11.052924	8.833758	4.61311	4.227305	2.457469	5.61576	10.138049	8.629303	5.166184	7.893414	5.199868	2.8239082	2.450182	4.464615	4.795024	5.243259	1.808182	0.5619497	0.5420195
FBgn0020510	CG9749	chr3R	9944980	9948188	64.2521	60.98277	60.63816	89.21288	81.19167	70.90949	68.07084	52.39691	41.33357	38.00816	24.4906	24.81309	23.75586	15.95678	15.100556	15.49719	25.39866	29.80342	34.49889	36.5874	44.3711	36.0166	23.4116	16.67786	18.95438	22.75866	23.55729	28.42835	36.58834	39.07438
FBgn0000017	CG4032	chr3L	16614869	16641925	43.06095	42.6138	13.510268	21.31581	28.30389	31.555	35.48309	32.73628	21.96086	15.244957	27.6445	21.50382	7.383391	5.377852	4.120104	4.87054	11.49347	15.96493	17.44632	21.38048	31.59901	28.39174	10.47671	8.16856	8.81243	10.47685	11.10398	16.5543	26.34364	27.67045
FBgn0022710	CG9210	chrX	15405267	15433971	2.68281	2.999997	3.33719	3.66236	4.31198	4.23065	6.06393	7.05383	7.51501	8.708529	9.88235	10.41984	6.18498	3.213019	4.771316	4.488317	8.55415	8.98265	6.99677	13.402921	6.159231	3.344103	5.10191	9.211364	12.81922	11.72953	12.0964	9.663962	5.625562	6.458462
FBgn0023416	CG1506	chr2L	21632181	21647967	0.1543471	1.648133	3.86999	3.801964	3.661598	2.890763	4.712729	3.508338	6.07879	6.17202	6.571197	9.134755	7.227871	3.03103	1.526149	0.81537	1.570771	2.509612	2.767207	4.749229	7.391834	8.58134	8.79833	3.73802	4.03323	4.331838	3.38924	1.565446	0.688697	0.743317
FBgn0004852	CG7978	chr3L	19932340	19971263	0.0421879	0.0410383	0.0194735	0.0831138	0.1608478	0.389982	0.962337	3.575568	14.9841	27.46045	39.49996	37.75537	28.35261	19.45921	27.6939	15.2162	13.1905	7.230444	2.248691	2.305903	2.15503	3.851484	15.6975	26.37469	18.29329	17.668942	19.43795	12.16722	5.12796	5.39077
