FBgn	gene	chromosome	start	stop	strand	CME_W1_Cl.8+	Kc167	ML-DmBG3-c2	S2_DRSC
FBgn0086855	CG17078	chr2L	274733	277485	-	0	0	0	0
FBgn0003444	CG11561	chr2L	277470	282175	+	0	0	0	0
FBgn0031244	CG11601	chr2L	281849	283319	-	0	0	0	0
FBgn0031245	CG3625	chr2L	283355	286655	-	35.8038	33.5503	31.8928	14.0625
FBgn0025686	CG11592	chr2L	287251	288919	-	0	0.0394775	0.205183	0.0304788
FBgn0031247	CG11562	chr2L	292324	293260	-	21.6864	25.471	23.8017	18.3712
FBgn0017457	CG3582	chr2L	293235	294682	-	81.009	72.6103	90.0909	60.4608
FBgn0024352	CG2720	chr2L	295094	297532	-	136.606	200.633	129.004	120.006
FBgn0020622	CG2699	chr2L	297816	305233	-	40.7861	28.5974	24.6765	11.0084
FBgn0004611	CG4574	chr2L	305901	346609	-	5.54967	4.24437	3.3006	3.90153
NA	noncoding_105	chr2L	308540	309348	-	0	0	0	0.388675
FBgn0031248	CG11912	chr2L	318357	319254	-	0	0	0	0
FBgn0031249	CG11911	chr2L	320279	321246	-	0	0	0	0
FBgn0053127	CG33127	chr2L	322130	322985	-	0	0	0	1.18921
FBgn0051920	CG31920	chr2L	325519	329761	-	0.474283	0.157372	0.0833294	0.310131
FBgn0045202	CG33992	chr2L	327429	328518	-	0	0	0	0
FBgn0051921	CG31921	chr2L	329991	332335	-	0	0	0	0
FBgn0031250	CG11907	chr2L	355558	358003	-	13.9333	11.3029	14.5393	22.6711
FBgn0000061	CG3935	chr2L	378053	387518	-	0.0399266	0	0.352286	0
FBgn0031251	CG4213	chr2L	396586	402274	-	0.394752	0.276797	0.0454309	0.0562374
FBgn0003278	CG4033	chr2L	404196	408146	-	15.4373	27.4187	8.19388	15.5494
FBgn0015567	CG4260	chr2L	408021	414852	-	30.1327	51.6762	34.3488	23.1157
FBgn0023444	CG4063	chr2L	414938	418538	-	30.1207	47.0134	27.9355	39.3896
FBgn0031252	CG13690	chr2L	418429	419642	-	19.747	71.1592	38.4923	48.5976
FBgn0002593	CG4087	chr2L	419904	420825	-	2365.31	1982.58	2996.24	3338.25
FBgn0031253	CG11885	chr2L	420886	421407	-	46.606	38.4222	23.2543	34.6405
FBgn0031254	CG13692	chr2L	421689	422697	-	2.35822	37.8249	1.72199	10.0718
FBgn0031255	CG13691	chr2L	422785	425370	-	1.16283	7.64135	1.5822	1.88905
FBgn0004583	CG4114	chr2L	431130	448701	-	10.0372	14.128	4.70467	18.0918
FBgn0015924	CG4280	chr2L	448253	453068	-	24.1965	19.6902	54.5657	38.8559
FBgn0031256	CG4164	chr2L	453073	454654	-	48.2692	85.4906	49.5605	77.9281
FBgn0031257	CG4133	chr2L	455498	458775	-	0.333015	1.0068	0.667804	29.1205
FBgn0031258	CG4297	chr2L	460462	475016	-	0.409974	1.80213	1.11084	1.44988
FBgn0027592	CG4184	chr2L	472979	476230	-	28.6329	56.7989	26.207	36.7136
FBgn0043364	CG4427	chr2L	476319	479935	-	34.9002	91.116	20.6554	29.3786
FBgn0003963	CG2762	chr2L	490734	540666	-	70.9656	81.6945	47.882	42.8021
FBgn0010602	CG3018	chr2L	540843	542657	-	182.955	396.273	160.21	132.246
FBgn0031260	CG11840	chr2L	542737	544737	-	120.934	243.171	77.61	119.799
FBgn0031261	CG11822	chr2L	545130	547096	-	63.5662	205.691	44.1011	178.797
FBgn0005660	CG2914	chr2L	547005	553032	-	34.4678	39.7867	10.5733	4.01103
FBgn0260933	CG11838	chr2L	553129	560310	-	21.5964	42.8603	26.7765	14.5481
FBgn0031263	CG2789	chr2L	559575	560551	-	398.705	255.705	641.634	177.098
FBgn0031264	CG11835	chr2L	560793	563181	-	0.162432	0.909967	0.831251	0.255471
FBgn0031265	CG2794	chr2L	564169	566479	-	28.4508	44.4481	29.7454	24.2018
FBgn0021874	CG2863	chr2L	566300	568247	-	48.7242	71.2179	39.1862	38.1883
FBgn0031266	CG2807	chr2L	568310	572950	-	34.6447	62.495	35.5415	34.3374
FBgn0031267	CG13688	chr2L	573032	574232	-	39.4998	93.2305	45.2906	48.4662
FBgn0031268	CG2813	chr2L	574496	575750	-	9.63895	13.0234	15.1077	8.36122
FBgn0013323	CG13687	chr2L	575710	576987	-	0.139779	7.09897	0.0620425	0.549607
FBgn0023489	CG2819	chr2L	577423	579549	-	0	1.15286	0.211481	0.052357
FBgn0010323	CG2851	chr2L	583539	594810	-	0	0.0314013	0	0.048487
FBgn0031270	CG13689	chr2L	602741	603817	-	2.53722	5.13255	6.44467	3.37581
FBgn0040106	CG13686	chr2L	620433	621540	-	0	0	0	0
FBgn0040107	CG2826	chr2L	624643	625453	-	0	0	0	0.0627638
FBgn0031273	CG2839	chr2L	625662	628143	-	0.187612	0.398117	0.137947	0
FBgn0000497	CG17941	chr2L	640018	714980	-	0.00624717	0.0371187	0.0220484	0.0163758
FBgn0011244	CG2830	chr2L	728411	730564	-	0	0	0.063585	0.0236129
FBgn0026438	CG3159	chr2L	737202	744395	-	0.0243954	0.0207072	0.0215251	0
FBgn0031275	CG3022	chr2L	756336	762142	-	0.0184972	0.238638	15.7661	0.0121218
FBgn0031276	CG12506	chr2L	773575	774020	+	0	0	0	0
FBgn0040725	CG13946	chr2L	776536	776892	+	0	0	0	0
FBgn0031277	CG13947	chr2L	779204	779563	+	0	0	0	0
FBgn0041250	CG13948	chr2L	780481	782977	-	0	0.0284812	0	0
FBgn0031279	CG3544	chr2L	784297	786846	-	0.000387636	0.0360616	3.5553e-09	0
FBgn0000442	CG3324	chr2L	786151	790893	-	0.520891	0.098318	0.153302	0.0379535
FBgn0051658	CG31658	chr2L	810513	811472	-	11.336	29.5356	21.7437	10.9817
FBgn0086130	CG3561	chr2L	811500	813452	-	18.0915	34.1321	22.8419	14.3218
FBgn0031281	CG3883	chr2L	813251	815964	-	8.55909	7.63357	11.4896	8.22993
FBgn0031282	CG3639	chr2L	816022	817032	-	9.52435	15.582	10.7757	15.4026
FBgn0031283	CG15880	chr2L	817045	819498	-	12.2079	24.5587	9.56976	15.2795
FBgn0031284	CG3876	chr2L	818079	819498	-	0	0	0	0
FBgn0015621	CG3642	chr2L	819963	821209	-	39.2245	72.5073	40.707	55.6532
FBgn0031285	CG3662	chr2L	821258	824354	-	114.326	180.276	150.428	117.76
FBgn0031286	CG3862	chr2L	824328	825861	-	18.2243	34.7137	22.915	18.9402
FBgn0010583	CG3727	chr2L	825926	833245	-	13.7487	55.3746	32.752	27.1118
FBgn0020304	CG3365	chr2L	833555	851096	-	61.0115	92.2202	94.1185	73.62
FBgn0031287	CG4291	chr2L	851253	852756	-	12.1051	22.5752	20.2831	17.4725
FBgn0020545	CG3943	chr2L	852715	854691	-	93.7648	162.245	94.9037	115.217
FBgn0031288	CG13949	chr2L	855336	856631	-	0.0814034	0	0	0.226553
FBgn0031289	CG13950	chr2L	859753	861726	-	0	0	0	0.197049
FBgn0029095	CG4276	chr2L	861844	868418	-	1.09414	83.8869	0.243355	129.637
FBgn0020305	CG4258	chr2L	868674	869911	-	48.8543	92.1985	64.4098	64.1956
FBgn0053526	CG33526	chr2L	870450	877083	-	35.395	54.4798	53.389	41.5252
FBgn0002936	CG3966	chr2L	877207	878299	-	0.156091	0.596214	0.137725	0.255728
FBgn0031292	CG15824	chr2L	878174	885107	-	0	0.216074	0	0.108434
FBgn0002563	CG4178	chr2L	898642	901382	-	0.0290335	1.99616	0	0.0570793
FBgn0046113	CG4226	chr2L	914066	917805	-	0.0256624	0.043565	0	0.0168173
FBgn0028481	CG4341	chr2L	922793	958163	-	0.0550844	0.031171	0.16201	0.0240656
FBgn0031294	CG31795	chr2L	1011415	1043225	-	0.0576569	0.167472	0.0203294	0.00754955
FBgn0031295	CG4375	chr2L	1026107	1026897	-	0	0	0	0
FBgn0031296	CG4415	chr2L	1037274	1038533	-	2.21826	4.13188	1.46793	2.54395
FBgn0003310	CG4385	chr2L	1049715	1077872	-	8.70574	29.2197	9.12586	14.1462
FBgn0015905	CG4426	chr2L	1077913	1080809	-	12.1728	33.9291	12.5838	22.3617
FBgn0031298	CG4428	chr2L	1080883	1083380	-	30.0553	40.4566	38.6413	37.6768
FBgn0031299	CG4629	chr2L	1083089	1102506	-	1.47662	2.27955	2.85103	1.27562
NA	noncoding_229	chr2L	1086382	1086967	+	0	0	0	0
NA	CG34016	chr2L	1099551	1102506	+	0	0	0	0
FBgn0031300	CG4644	chr2L	1103253	1108453	-	13.0481	25.7328	10.614	15.4699
FBgn0031301	CG14339	chr2L	1108537	1114140	-	0.0710416	0.940815	0.19159	0
FBgn0031302	CG14340	chr2L	1112769	1114140	-	0	0	0	4.39503
FBgn0016926	CG4710	chr2L	1114600	1129013	-	21.2245	68.7638	39.5724	26.8536
FBgn0031304	CG4552	chr2L	1129223	1132413	-	23.2035	59.8167	29.5344	53.9854
FBgn0031305	CG4715	chr2L	1132329	1134120	-	0.130537	0.147939	0.191667	0
FBgn0031306	CG4577	chr2L	1134544	1141156	-	0.10869	0.0461285	0.0479504	0
FBgn0031307	CG4726	chr2L	1143074	1147435	-	112.178	192.236	189.319	50.8387
FBgn0031308	CG4749	chr2L	1147832	1149454	-	21.7618	26.9159	17.7664	18.5865
FBgn0031309	CG5041	chr2L	1149444	1150709	-	22.2725	31.9343	18.7223	22.7812
FBgn0031310	CG4764	chr2L	1150782	1151764	-	96.4951	183.881	77.1424	90.1852
FBgn0261458	CG33979	chr2L	1151677	1158406	-	287.181	484.109	271.533	231.644
FBgn0031312	CG4775	chr2L	1158623	1160283	-	69.3774	71.2239	61.4646	96.2161
FBgn0031313	CG5080	chr2L	1160247	1164237	-	10.7222	105.423	74.8209	67.0839
FBgn0031314	CG4785	chr2L	1164465	1166454	-	19.4847	20.9719	36.8654	24.8006
FBgn0031315	CG14341	chr2L	1166462	1167213	-	22.4855	34.3054	15.2299	31.1175
FBgn0024314	CG5105	chr2L	1167134	1170079	-	93.9483	81.7573	91.7083	65.5215
FBgn0051922	CG31922	chr2L	1170144	1170892	+	0	0	0	0
FBgn0031317	CG5118	chr2L	1170751	1172963	-	14.4864	37.3925	17.3917	32.5782
FBgn0031318	CG4887	chr2L	1172948	1177599	-	21.4925	34.0739	19.2771	23.0185
FBgn0031319	CG4896	chr2L	1177705	1182459	-	9.80274	17.3496	14.067	12.2348
FBgn0031320	CG5126	chr2L	1182204	1184056	-	27.8091	54.2044	28.6948	15.0923
FBgn0031321	CG4947	chr2L	1184057	1185701	-	45.9754	98.0207	43.5625	22.7742
FBgn0031322	CG5001	chr2L	1185722	1196809	-	0.566556	17.5572	0.824546	11.3936
FBgn0031323	CG5139	chr2L	1198468	1199202	-	0	0	0	0
FBgn0040723	CG5011	chr2L	1200236	1201220	-	1.10374	0	0	0.103331
FBgn0031324	CG14342	chr2L	1204136	1205371	+	0	0	0	0
FBgn0259229	CG42329	chr2L	1219252	1229763	-	0	0	0	0
FBgn0031327	CG5397	chr2L	1239966	1242336	-	0.338766	6.6136	2.66025	29.2822
FBgn0041097	CG5423	chr2L	1256308	1294722	-	0.0137378	0.0233216	0	0.0270083
FBgn0011294	CG5430	chr2L	1329161	1329993	+	0	0	0	0
FBgn0031331	CG5440	chr2L	1334128	1335074	+	0	0	0	0
FBgn0053923	CG33923	chr2L	1341365	1342095	-	0	0	0	0
FBgn0053922	CG33922	chr2L	1343442	1344171	-	0	0	0	0.0946716
FBgn0026141	CG5450	chr2L	1344429	1345195	+	0	0	0	0
FBgn0031332	CG5556	chr2L	1351727	1352904	-	0	0	0	0
FBgn0031333	CG5561	chr2L	1352970	1354109	-	0	0	0	0
FBgn0051924	CG31924	chr2L	1354101	1354919	-	0	0	0	0
FBgn0031335	CG5565	chr2L	1354911	1356428	-	0	0	0	0
FBgn0051659	CG31659	chr2L	1358910	1359880	-	0	0	0	0
FBgn0053126	CG33126	chr2L	1359835	1361826	-	0.0671666	0.0570117	1.83716	0.132048
FBgn0031337	CG14346	chr2L	1368007	1369076	-	0	0	0.0794074	0
FBgn0002543	CG5481	chr2L	1379987	1420561	-	1.32698	1.31164	5.96933	3.2695
NA	noncoding_292	chr2L	1380908	1420412	-	0.274664	0.625562	3.08869	0.0891518
FBgn0051928	CG31928	chr2L	1492293	1493650	-	0.114337	0	0.353091	0
FBgn0053128	CG33128	chr2L	1494089	1495456	-	0.0567501	0.0481701	1.05152	0.0371899
FBgn0051926	CG31926	chr2L	1495746	1496979	-	0	0	2.49815	0
FBgn0051661	CG31661	chr2L	1497253	1498435	-	0	0	0.173729	0
FBgn0031343	CG18131	chr2L	1498454	1500286	-	0	0.135863	7.7348	0.218594
FBgn0031344	CG7420	chr2L	1500792	1502984	-	8.19095	5.83798	11.7248	10.6855
NA	noncoding_300	chr2L	1500834	1501324	-	0.0383766	0.0108336	0.00869713	0.00429938
FBgn0031345	CG18132	chr2L	1516790	1517478	-	0	0	0	0
FBgn0001174	CG7428	chr2L	1517532	1518184	-	0	0	0	0
FBgn0026398	CG12193	chr2L	1520490	1522153	-	0.109418	0	0	0
FBgn0026397	CG4231	chr2L	1522690	1524259	-	0	0.15126	0	0
FBgn0261509	CG14351	chr2L	1555121	1608661	-	0.116328	0.265572	0.196835	0.308583
FBgn0031347	CG10869	chr2L	1584849	1587265	-	0.164848	0.0559698	0.119384	0
FBgn0051935	CG31935	chr2L	1594783	1611163	-	6.87743	3.18416	7.43629	8.932
FBgn0031351	CG14352	chr2L	1611410	1612583	-	4.50651	5.51214	8.66552	8.295
FBgn0068089	CG7361	chr2L	1612494	1614196	-	227.533	118.023	167.109	232.417
FBgn0235110	CG31666	chr2L	1651237	1702101	-	26.688	52.3964	0.0499508	24.4772
FBgn0011570	CG17158	chr2L	1704872	1707011	-	116.556	150.308	69.0399	114.679
FBgn0031356	CG17660	chr2L	1707044	1715909	-	43.6058	43.8436	34.4559	55.3382
FBgn0031357	CG17642	chr2L	1710457	1711466	-	29.7921	22.2771	27.0443	29.2817
FBgn0086698	CG17657	chr2L	1711246	1715909	-	0	0	0	0
FBgn0031359	CG18317	chr2L	1716244	1724400	-	29.6075	18.1768	13.5896	21.3617
FBgn0000579	CG17654	chr2L	1724776	1727879	-	1031.71	413.361	1179.24	476.853
FBgn0260648	CG31938	chr2L	1728734	1729575	-	41.8789	28.7353	36.3001	30.2251
FBgn0031360	CG31937	chr2L	1729945	1731070	-	72.1297	27.0418	68.936	60.7804
FBgn0031361	CG17652	chr2L	1731235	1732360	-	5.3582	6.8551	7.87954	9.21101
FBgn0031362	CG17646	chr2L	1732505	1750671	-	36.5806	2.64791	11.3357	2.37133
FBgn0027597	CG17712	chr2L	1750686	1752116	-	19.096	23.116	56.4826	27.8013
FBgn0031364	CG17648	chr2L	1752348	1752851	-	0	0	0	0.303213
FBgn0041249	CG31932	chr2L	1755229	1756555	-	0	0	0	0.0402205
FBgn0031365	CG17650	chr2L	1758281	1759191	-	0	1.03535	0.215249	0.15987
FBgn0045497	CG31936	chr2L	1784062	1785286	+	0	0	0	0
FBgn0045499	CG31929	chr2L	1790617	1791823	-	0	0	0	0
FBgn0045501	CG31662	chr2L	1793668	1794917	-	0	0	0	0
FBgn0051933	CG31933	chr2L	1821256	1823331	-	0	0	0	0
FBgn0051664	CG31664	chr2L	1824145	1826520	-	0	0	0	0
FBgn0031367	CG15623	chr2L	1831625	1832621	-	0	0	0	0
FBgn0051665	CG31665	chr2L	1836519	1858580	-	0	0.012033	0.0125082	0
FBgn0051663	CG31663	chr2L	1858608	1880703	-	0.0215433	0	0	0.112943
FBgn0031372	CG7295	chr2L	1869866	1870956	-	0	0.0604115	0	0
FBgn0031373	CG15358	chr2L	1882414	1884056	-	0.0710416	0	0	0
FBgn0031374	CG7337	chr2L	1884578	1944012	-	18.5949	26.409	5.0177	14.1774
FBgn0040719	CG15357	chr2L	1945149	1945709	-	0	0.117587	0	0
FBgn0053673	CG33673	chr2L	1945817	1947359	-	0	0	0	0
FBgn0031375	CG31670	chr2L	1950231	1954777	-	0	0.0211595	0	0
FBgn0031376	CG10908	chr2L	1973911	1975441	-	69.2066	51.4879	81.2444	67.8364
FBgn0031377	CG15356	chr2L	1975487	1980810	-	12.4835	16.5071	8.18099	9.82124
FBgn0031378	CG15362	chr2L	1981125	1982102	-	4.2999	6.46319	8.29927	14.0892
FBgn0031379	CG7289	chr2L	1982191	1984516	-	33.9514	34.2827	26.6244	38.7757
FBgn0001125	CG4233	chr2L	1984511	1987860	-	171.484	142.636	383.57	167.516
FBgn0031381	CG7291	chr2L	1988285	1988949	-	76.8764	563.58	1865.96	552.488
FBgn0043539	CG31941	chr2L	1991490	1992290	-	0	0.123543	0.128423	0.0680571
FBgn0053543	CG33543	chr2L	1997101	2006307	-	0	0.0237121	0.285864	0.018307
NA	noncoding_375	chr2L	2002181	2003935	-	0	0	0.104343	0
FBgn0040718	CG15353	chr2L	2006741	2007674	-	0	0	0.0803394	0
FBgn0040717	CG15361	chr2L	2008233	2009075	-	0.10911	0	0	0.071503
FBgn0031384	CG4238	chr2L	2009772	2030699	-	5.38707	2.45574	8.72637	3.34023
FBgn0259192	CG42296	chr2L	2032504	2036173	-	0	0.0392891	0	0.0151667
FBgn0259230	CG42295	chr2L	2036456	2037247	-	0	0	0	0
FBgn0003557	CG4244	chr2L	2037683	2044379	-	23.3475	32.8262	20.3042	44.319
FBgn0028952	CG31672	chr2L	2045274	2048094	-	2.01362	3.03719	1.56342	1.55543
FBgn0026396	CG15377	chr2L	2054452	2058060	-	0	0.0457917	0	0.0353537
FBgn0053516	CG33516	chr2L	2058754	2109878	-	0.175062	10.575	0.0345006	15.4057
FBgn0031388	CG12674	chr2L	2079817	2082020	+	0	0	0	0
NA	noncoding_394	chr2L	2084050	2084415	+	0	0	0	0
FBgn0031389	CG4259	chr2L	2127344	2129245	-	0.685259	158.218	0.111663	203.268
FBgn0004507	CG7254	chr2L	2130791	2137303	-	50.0878	48.7013	133.338	22.7267
FBgn0031390	CG31671	chr2L	2137333	2145296	-	24.9686	19.0595	19.5239	26.516
FBgn0031391	CG11723	chr2L	2145302	2147345	-	8.89523	7.75081	11.113	11.4007
FBgn0027509	CG7261	chr2L	2147464	2151668	-	29.314	20.8982	33.9399	39.4201
FBgn0031392	CG7263	chr2L	2151694	2155542	-	32.6563	25.5128	25.435	26.7387
FBgn0031393	CG15382	chr2L	2155759	2156791	-	0.594579	0.0970952	0.859236	0.268217
FBgn0000097	CG3166	chr2L	2156483	2178749	-	40.1953	34.3454	38.1266	27.3685
FBgn0031395	CG10874	chr2L	2189841	2192442	-	17.3921	19.7286	22.024	21.2831
FBgn0085201	CG34172	chr2L	2192517	2193071	-	0	0.179914	0	0
FBgn0051668	CG31668	chr2L	2203903	2209247	-	0.0456069	0.0387116	0	1.51799
FBgn0053124	CG33124	chr2L	2205934	2209247	-	0	0	0	0
FBgn0031397	CG15385	chr2L	2209571	2212615	-	1.07063	1.74384	0.791468	0.758503
FBgn0010288	CG4265	chr2L	2212625	2214179	-	71.427	224.333	51.1268	69.5078
FBgn0085203	CG34174	chr2L	2214187	2215167	-	3.22976	3.39391	3.67854	5.43994
FBgn0031398	CG10880	chr2L	2214922	2216341	-	12.2041	10.6097	13.3169	8.74435
FBgn0040715	CG15386	chr2L	2216502	2217231	-	23.9847	0	17.2136	26.0962
FBgn0259717	CG42371	chr2L	2216502	2217231	-	0	32.8268	0	0
FBgn0031399	CG7074	chr2L	2217261	2220671	-	12.0335	13.1697	10.5949	21.7448
FBgn0031401	CG7082	chr2L	2220742	2231157	-	105.969	123.81	141.286	96.4533
FBgn0031403	CG15387	chr2L	2225487	2226407	-	8.70629	12.7722	18.0354	7.03539
FBgn0010704	CG7085	chr2L	2226522	2231157	+	0	0	0	0
NA	noncoding_427	chr2L	2227139	2227604	-	0	0	0	0
FBgn0261643	CG10882	chr2L	2231201	2237017	-	49.6804	59.0689	36.6481	48.4908
FBgn0051679	CG31679	chr2L	2237075	2238294	-	0.335252	0	0	0
FBgn0052463	CG32463	chr2L	2238303	2239389	-	0.2275	0	0	0
FBgn0051682	CG31682	chr2L	2239407	2240603	-	0.207057	0	0	0
FBgn0031405	CG4267	chr2L	2242160	2244501	-	0.882001	0.249805	1.86887	7.81456
FBgn0051686	CG31686	chr2L	2244672	2245257	-	0.530444	0	0.234014	0.0869037
NA	noncoding_433	chr2L	2245329	2245900	-	0.148901	0	0	0
FBgn0011832	CG17240	chr2L	2250431	2251275	-	0	0	0	0
FBgn0042186	CG17239	chr2L	2251572	2252341	-	0	0	0	0
FBgn0042187	CG17234	chr2L	2253078	2253834	-	0.102616	0	0	0
FBgn0031406	CG17012	chr2L	2254175	2255050	-	0	0	0	0
FBgn0031407	CG4270	chr2L	2263442	2264241	+	0	0	0	0
FBgn0054049	CG34049	chr2L	2264231	2265387	-	0	0	0	0
FBgn0250841	CG17242	chr2L	2268299	2269119	-	0	0	0	0
FBgn0031409	CG4271	chr2L	2285173	2285902	-	0	0	0	0.0697375
FBgn0051681	CG31681	chr2L	2285925	2286873	-	0	0	0	0
NA	MB8.chr2L.pasa.2	chr2L	2286947	2287937	-	0	0	0	0
FBgn0031410	CG17237	chr2L	2288495	2289370	-	0	0	0	0
FBgn0028570	CG10838	chr2L	2290224	2290673	-	0	0	0	0
FBgn0051949	CG31949	chr2L	2300102	2300795	-	0	0	0	0.0733602
FBgn0031412	CG16995	chr2L	2307840	2308684	-	0.121215	0	0.106952	0.397177
FBgn0031413	CG9967	chr2L	2308706	2357384	-	4.21626	2.22364	6.6232	4.1379
FBgn0031414	CG33955	chr2L	2311692	2358260	-	0.139528	0.132382	0.0404738	0.0914364
FBgn0014010	CG3664	chr2L	2359195	2365362	-	100.173	170.246	120.238	67.9974
FBgn0261647	CG4272	chr2L	2365321	2370181	-	14.4791	13.344	16.9809	15.3621
FBgn0031417	CG3597	chr2L	2370145	2372025	-	0	0	0	0
FBgn0031418	CG3609	chr2L	2372202	2374684	-	168.987	151.831	139.247	78.7257
FBgn0031419	CG15390	chr2L	2374677	2375768	-	3.07311	1.27243	1.45496	2.0139
FBgn0031420	CG9866	chr2L	2375846	2380527	-	13.863	7.89063	19.0001	17.3626
FBgn0031421	CG9867	chr2L	2381095	2383094	-	14.8919	11.6654	12.1985	11.7485
FBgn0031422	CG9870	chr2L	2383186	2384747	-	2.9323	3.97362	2.04258	3.80953
FBgn0031423	CG3557	chr2L	2384761	2385863	-	0	0	0	0
FBgn0031424	CG9887	chr2L	2400278	2410671	-	0	0.0119161	0.0123868	0
FBgn0031426	CG18641	chr2L	2410727	2412129	-	0	0.0516459	0	0.159494
FBgn0051948	CG31948	chr2L	2415392	2416767	-	0	0	0	0
FBgn0085477	CG34448	chr2L	2416792	2417965	-	0	0	0	0
FBgn0085476	CG34447	chr2L	2418325	2420070	-	0	0	0	0
FBgn0031428	CG9886	chr2L	2420704	2422955	-	4.91265	1.61676	6.87303	5.14177
FBgn0000490	CG9885	chr2L	2427042	2459835	-	1.1418	0.302856	0.352516	3.21206
FBgn0031429	CG15393	chr2L	2489754	2490119	-	0	0	0	0
FBgn0015816	CG3539	chr2L	2490204	2492676	-	38.5494	27.0044	51.774	34.8691
FBgn0011818	CG9884	chr2L	2492825	2498852	-	22.3006	25.9115	17.4494	14.5591
FBgn0031430	CG3528	chr2L	2517098	2518085	-	0	0	0	0
FBgn0031431	CG3515	chr2L	2551039	2552855	-	0	0	0	0
FBgn0031432	CG9964	chr2L	2562732	2564848	-	0.395579	0.783467	0.193907	0.144019
FBgn0041337	CG18559	chr2L	2564881	2573047	-	0.2015	0.0732464	0	0.0848253
FBgn0026778	CG3240	chr2L	2573423	2575080	-	8.90817	14.0425	17.786	10.1744
FBgn0085343	CG34314	chr2L	2573424	2575080	-	0	0	0	0
FBgn0031434	CG3227	chr2L	2575174	2577006	-	3.86132	2.83059	2.94239	2.73171
FBgn0031435	CG9883	chr2L	2577670	2579180	-	3.75043	5.45596	1.67723	2.8302
FBgn0031436	CG3214	chr2L	2579154	2580147	-	53.2494	36.3621	46.0019	72.5592
FBgn0031437	CG9881	chr2L	2580150	2581288	-	98.3187	56.7491	88.2187	85.2823
FBgn0026479	CG3210	chr2L	2581195	2585515	-	41.6639	32.6383	42.9317	48.4808
FBgn0250835	CG15394	chr2L	2588854	2592862	+	0	0	0	0
